electrode,value,freq,cued
POz,1.758529330533657e-14,60,60
PO4,1.3620926996629445e-14,60,60
P1,7.31824861156521e-15,60,60
Pz,6.9232631523742684e-15,60,60
P2,8.970171594351216e-15,60,60
PO3,1.496518986608167e-14,60,60
POz,1.0595129655190987e-14,64,60
PO4,1.0618441254851753e-14,64,60
P1,4.841489473268617e-15,64,60
Pz,5.089547829118208e-15,64,60
P2,6.190633681377656e-15,64,60
PO3,6.479711313013894e-15,64,60
POz,8.66008788203584e-15,60,64
PO4,8.296751026563654e-15,60,64
P1,4.458121757064945e-15,60,64
Pz,5.5464897253297896e-15,60,64
P2,5.377564098600061e-15,60,64
PO3,8.43458692515485e-15,60,64
POz,1.1791527759358433e-14,64,64
PO4,1.555283741245678e-14,64,64
P1,5.205303751046122e-15,64,64
Pz,5.776374102525176e-15,64,64
P2,6.8416888621830625e-15,64,64
PO3,1.1024981536467941e-14,64,64
