channel,attention,cued_side,timepoint,erp,time
O2,0,0,0,-3.0008581373547393e-07,-0.1
PO4,0,0,0,-1.5877280525520703e-07,-0.1
P4,0,0,0,-2.3745940513281654e-08,-0.1
P6,0,0,0,-1.0595671138168362e-07,-0.1
P2,0,0,0,2.9757889046622556e-07,-0.1
P1,0,0,0,3.257547451177627e-07,-0.1
P3,0,0,0,2.716439456995791e-07,-0.1
P5,0,0,0,-1.8653400193236553e-07,-0.1
PO3,0,0,0,-3.756538385971601e-07,-0.1
O1,0,0,0,-8.521013151829353e-07,-0.1
Pz,0,0,0,4.903784218556106e-07,-0.1
POz,0,0,0,2.9266259290359114e-07,-0.1
Oz,0,0,0,-6.499490252496592e-07,-0.1
Iz,0,0,0,-7.566503456884085e-07,-0.1
O2,0,0,1,-5.57259025862433e-07,-0.095
PO4,0,0,1,-2.085829030591143e-07,-0.095
P4,0,0,1,3.5259935197242576e-08,-0.095
P6,0,0,1,-2.0797361340455191e-07,-0.095
P2,0,0,1,2.5761661125457166e-07,-0.095
P1,0,0,1,4.784894414048018e-08,-0.095
P3,0,0,1,-2.0176502106554214e-07,-0.095
P5,0,0,1,-6.873807862857497e-07,-0.095
PO3,0,0,1,-7.805067952872998e-07,-0.095
O1,0,0,1,-1.1138799655429027e-06,-0.095
Pz,0,0,1,1.8222221527176172e-07,-0.095
POz,0,0,1,-1.575283306355516e-07,-0.095
Oz,0,0,1,-9.846227652023002e-07,-0.095
Iz,0,0,1,-1.0154409411465138e-06,-0.095
O2,0,0,2,-3.8277237428836534e-07,-0.09000000000000001
PO4,0,0,2,-2.7704278837751226e-07,-0.09000000000000001
P4,0,0,2,1.4952168919016212e-07,-0.09000000000000001
P6,0,0,2,-1.511069933146499e-07,-0.09000000000000001
P2,0,0,2,2.791865359665489e-07,-0.09000000000000001
P1,0,0,2,2.2095407496995862e-07,-0.09000000000000001
P3,0,0,2,1.7459077565615665e-07,-0.09000000000000001
P5,0,0,2,-4.901216821382057e-07,-0.09000000000000001
